paciente_id,nombre,apellido_paterno,apellido_materno,fecha_nacimiento,edad,genero,curp,telefono,direccion,localidad,municipio,centro_salud_id,centro_salud_nombre,distancia_centro_km,tiene_seguro_popular,fecha_registro,activo
PAC00001,Olivia,Chavarría,Merino,1994-05-08,31,F,EAVX691211HTSCBC02,,Eje vial Tórrez 432 Interior 548,Nueva Singapur,Tuzantla,CS001,Centro de Salud Tzitzio,22.1,True,2024-03-07,True
PAC00002,Ramón,Mendoza,Tovar,1963-04-13,62,F,SIZA190216HTSNLEA8,,"Ampliación Ocampo 841 Edif. 212 , Depto. 338",San Asunción los bajos,Madero,CS001,Centro de Salud Tzitzio,10.3,False,2024-09-20,True
PAC00003,Víctor,Merino,Candelaria,2001-11-29,23,F,XORD590520MCHWMU00,861.411.8613x53694,Circuito Norte Batista 049 Interior 030,Nueva Albania,Madero,CS004,Centro de Salud Susupuato,26.5,True,2023-04-03,True
PAC00004,Yolanda,Barreto,de la Crúz,2024-03-18,1,F,HAMI671228MSPHPL04,,"Cerrada Segovia 572 Edif. 452 , Depto. 759",Vieja Azerbaiyán,Madero,CS005,Hospital Rural Tuzantla,75.8,True,2025-04-20,True
PAC00005,Dolores,Duarte,Jasso,2020-02-04,5,M,HEOM090508MMCNCHA6,974-848-1770x988,"Avenida Yemen 608 Edif. 351 , Depto. 045",San Clara los altos,Madero,CS003,Centro de Salud Madero,9.2,True,2025-06-06,True
PAC00006,Victoria,Barreto,Ríos,1939-05-26,86,M,MOEI220207HMNWWI07,01248985335,Pasaje Marruecos 262 Interior 163,Nueva Federación de Rusia,Susupuato,CS004,Centro de Salud Susupuato,9.2,True,2024-01-15,True
PAC00007,Ángela,Guillen,Casares,2018-03-22,7,F,BAEU020627HTSYDMA5,04422114795,"Andador Durango 356 Edif. 627 , Depto. 545",Vieja Malawi,Susupuato,CS001,Centro de Salud Tzitzio,81.0,True,2025-05-28,True
PAC00008,Úrsula,Nevárez,Almonte,1973-12-24,51,M,RIYU640504MCLMRF05,119.896.1135,Corredor Tamaulipas 727 Interior 591,Nueva Camerún,Madero,CS004,Centro de Salud Susupuato,30.6,True,2022-05-25,True
PAC00009,Salma,Barrios,Acevedo,1991-05-11,34,F,QUGE470412MGTWVA01,(012)785-7756x435,Calle Sur Galarza 551 Interior 007,San Mario de la Montaña,Susupuato,CS004,Centro de Salud Susupuato,6.9,False,2021-01-01,True
PAC00010,Luisa,Arenas,Almanza,1960-10-23,64,F,HUCC480510MCSWGE05,501-781-3831x761,"Continuación Norte Polanco 894 Edif. 976 , Depto. 990",San Patricia los altos,Tuzantla,CS001,Centro de Salud Tzitzio,23.4,False,2022-05-16,True
PAC00011,Rosa,Arellano,Ulloa,1987-08-19,37,M,MIOQ490915MCLKKC04,275.731.5362x0994,"Andador Jáquez 529 Edif. 687 , Depto. 329",San Abraham los bajos,Tuzantla,CS004,Centro de Salud Susupuato,7.0,True,2023-11-28,True
PAC00012,Alejandra,Esquibel,Reyna,2019-08-06,5,M,BICQ771004HNTTJR05,,Circuito Distrito Federal 878 Interior 068,San Pablo los bajos,Tuzantla,CS001,Centro de Salud Tzitzio,7.0,True,2021-06-21,True
PAC00013,Helena,Baeza,Vásquez,1980-11-19,44,M,VOLN540118MVZCZU00,,Boulevard Guanajuato 362 550,San Pablo los bajos,Susupuato,CS001,Centro de Salud Tzitzio,16.3,True,2024-09-06,True
PAC00014,Liliana,Rangel,Trejo,2024-01-16,1,M,EOFI180303MMNDSZ08,009-713-1721x45206,Callejón Montaño 615 349,San Ramiro de la Montaña,Tuzantla,CS003,Centro de Salud Madero,1.2,False,2023-05-08,True
PAC00015,Karla,Pineda,Zelaya,1994-04-11,31,M,HENP821112MJCQCF00,087-301-6937x01569,Avenida Singapur 852 Interior 268,San Itzel los bajos,Susupuato,CS005,Hospital Rural Tuzantla,1.5,True,2024-03-30,True
PAC00016,María Eugenia,Gálvez,Arias,1981-01-29,44,F,JEBS840319HPLCCS02,03405728535,Continuación Saucedo 151 Interior 938,San Rafaél los bajos,Tuzantla,CS001,Centro de Salud Tzitzio,6.2,False,2022-10-09,True
PAC00017,Elisa,Nava,Escamilla,2024-05-05,1,M,VEMD271120HBSYDN04,+22(9)5878402395,"Callejón Segovia 783 Edif. 839 , Depto. 784",San Pedro los bajos,Tuzantla,CS003,Centro de Salud Madero,3.6,True,2021-08-04,True
PAC00018,Gerónimo,Cardenas,Sandoval,2013-08-20,11,F,MEVU240827MVZNDAA5,848.523.6962x7015,"Avenida Sonora 361 Edif. 292 , Depto. 023",San Estela los altos,Tuzantla,CS001,Centro de Salud Tzitzio,17.8,True,2024-02-23,True
PAC00019,Emiliano,Carrión,Covarrubias,2016-09-07,8,M,CELJ490629HTLWMT00,01957785524,"Andador Cuellar 383 Edif. 681 , Depto. 368",San Perla los bajos,Tuzantla,CS005,Hospital Rural Tuzantla,4.1,False,2022-02-15,True
PAC00020,Gerónimo,Archuleta,Ballesteros,2012-04-24,13,M,DUEI030503MJCNJVA6,268.382.0098x332,Prolongación Sonora 101 974,Vieja Omán,Madero,CS002,Centro de Salud Tiquicheo,2.2,True,2021-02-10,True
PAC00021,Rodolfo,Benítez,Lerma,1956-04-04,69,M,IAAK900623HMSHSR08,01327871468,"Prolongación Saint Kitts y Nevis 657 Edif. 279 , Depto. 352",San Rodrigo de la Montaña,Tuzantla,CS004,Centro de Salud Susupuato,70.7,False,2024-09-25,True
