empleado_id,nombre_completo,cedula_profesional,especialidad,centro_salud_id,turno,fecha_ingreso,telefono,email,activo,dias_laborales
EMP0001,Dr. Ofelia Hidalgo,CEP3564503,Medicina Preventiva,CS001,Mixto,2016-10-19,1-328-897-3741x5404,opaz@example.net,True,"L,M,X,V"
EMP0002,Silvano del Río Ortega,CEP7559883,Medicina General,CS001,Nocturno,2021-04-17,029.749.6243,,True,Variable
EMP0003,Sr(a). Flavio Carbajal,CEP3381598,Medicina Preventiva,CS001,Vespertino,2025-03-09,268-895-7800x998,,True,Variable
EMP0004,Ing. Gerónimo Armendáriz,CEP9119003,Medicina Preventiva,CS001,Vespertino,2018-05-25,614.790.1552x16901,leonelsamaniego@example.com,True,L-S
EMP0005,Francisco Reyna Reynoso,CEP1228123,Enfermería,CS002,Nocturno,2015-08-15,148.794.5455x304,marianocenteno@example.org,True,Variable
EMP0006,Mónica Leonardo Gonzales,CEP5554337,Odontología,CS002,Matutino,2021-06-23,355-829-7869,torresmaria-del-carmen@example.org,True,"L,M,X,V"
EMP0007,Amanda Pilar Narváez Peralta,CEP3584187,Medicina Preventiva,CS002,Mixto,2023-04-02,+71(7)3522215105,,True,"L,M,X,V"
EMP0008,Nicolás Alejandro Alfaro,CEP2000294,Medicina General,CS003,Nocturno,2023-10-13,+24(6)5360607665,,True,Variable
EMP0009,Cristian Prieto,CEP2798349,Medicina Preventiva,CS003,Mixto,2024-10-24,366.466.3495,,True,Variable
EMP0010,Daniela Bustamante,CEP1175850,Odontología,CS003,Matutino,2017-11-15,794-518-9722x1378,,True,Variable
EMP0011,Zeferino Socorro Jaramillo,CEP1733518,Medicina Preventiva,CS003,Vespertino,2015-12-24,170.129.0007x8193,,True,L-S
EMP0012,Flavio Emilia Colón,CEP8149852,Enfermería,CS003,Vespertino,2019-05-08,637.427.1291,,True,L-V
EMP0013,Rodrigo Melgar,CEP2882140,Medicina General,CS003,Nocturno,2019-11-22,(915)889-6596x080,,True,L-S
EMP0014,Renato Karina Perea,CEP9666305,Medicina Preventiva,CS003,Matutino,2019-03-27,042-243-8084x31193,,True,L-V
EMP0015,Rosa Humberto Chacón,CEP5902554,Enfermería,CS003,Matutino,2021-05-21,04866229089,,True,L-V
EMP0016,Yuridia Brito,CEP7751188,Enfermería,CS004,Nocturno,2018-11-29,745.373.6949,,True,L-S
EMP0017,Lic. Miriam Alva,CEP6167115,Odontología,CS004,Mixto,2016-11-05,(848)047-0407x50369,,True,Variable
EMP0018,Sofía Garza,CEP1202431,Medicina General,CS004,Nocturno,2020-11-30,1-380-069-9779x17735,,True,"L,M,X,V"
EMP0019,Jesús Delgadillo,CEP2909957,Medicina General,CS004,Vespertino,2016-03-02,(148)395-6867,hector91@example.org,True,Variable
EMP0020,Cristina Alarcón Brito,CEP7761659,Enfermería,CS004,Mixto,2016-12-11,1-782-889-3750,whernandez@example.org,True,L-S
EMP0021,Conchita Segura Campos,CEP4152060,Enfermería,CS005,Matutino,2018-11-28,1-548-930-0815x123,,True,Variable
